id,title,year,study.num,assumed,file.drawer,data.source,prop.women,video.know,dim.v.dis,dim.pos.v.neg,emo,dur.manip,paq,ini.v.mod,stim,proc,proc.control,proc.aware,w.v.b,es.calc.method,b.treat,b.treat.n,b.treat.m,b.treat.sd,b.treat.se,b.compa,b.compa.n,b.compa.m,b.compa.sd,b.compa.se,b.tval,b.fval,b.pval.df,b.pval,w.n,w.treat,w.treat.m,w.treat.sd,w.treat.se,w.compa,w.compa.m,w.compa.sd,w.compa.se,w.tval,w.pval.df,w.pval,w.fval,es.dir.fpval,es,es.var,se
56,Mood is linked to vowel type: The role of articulatory movements.,2014,2,no,no,peer-reviewed,NA,no,NA,NA,NA,yes,yes,NA,pictures,incidental-incidental,no,NA,between,mean,articulating /i:/,37,5.62,1.496564469,0.246033683,articulating /o:/,37,4.86,1.140239596,0.187454235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57126296,0.056259063,0.237189931
56,Mood is linked to vowel type: The role of articulatory movements.,2014,2,no,no,peer-reviewed,NA,no,NA,NA,NA,yes,yes,NA,pictures,incidental-suppress,no,NA,between,mean,teeth,37,5.73,1.283004413,0.210924626,Lips,37,5.15,1.21172639,0.199206591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.464790357,0.055513717,0.23561349
57,On the activation of sensorimotor systems during the processing of emotionally-laden stimuli,2013,1,yes,no,peer-reviewed,0.788461538,no,dimensional,positive,NA,NA,no,initiate,NA,incidental-control,yes,no,within,pval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,pen in teeth,NA,NA,NA,pen in lips,NA,NA,NA,NA,99,0.5,NA,negative,-0.067697599,0.010022915,0.100114509
58,On the activation of sensorimotor systems during the processing of emotionally-laden stimuli,2013,2,yes,no,peer-reviewed,0.754716981,no,dimensional,positive,NA,NA,no,initiate,NA,incidental-control,yes,no,within,pval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,pen in teeth,NA,NA,NA,pen in lips,NA,NA,NA,NA,105,0.5,NA,negative,-0.065739879,0.009454348,0.097233471
59,On the activation of sensorimotor systems during the processing of emotionally-laden stimuli,2013,3,yes,no,peer-reviewed,0.730769231,no,dimensional,positive,NA,NA,no,modulate,pictures,incidental-suppress,no,NA,within,pval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,pen in teeth,NA,NA,NA,pen in lips,NA,NA,NA,NA,103,0.5,NA,negative,-0.06637346,0.009636565,0.098166005
60,On the activation of sensorimotor systems during the processing of emotionally-laden stimuli,2013,4,yes,no,peer-reviewed,0.63,no,dimensional,positive,NA,NA,no,initiate,NA,incidental-control,yes,no,within,pval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,pen in teeth,NA,NA,NA,pen in lips,NA,NA,NA,NA,99,0.5,NA,negative,-0.067697599,0.010022915,0.100114509
63,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,1,no,no,peer-reviewed,0.6125,no,discrete,NA,surprise,yes,no,initiate,NA,exp.pose-control,yes,yes,between,mean,Surprise Face,28,2,1.5,0.283473355,Surprise-incompatible Face,25,1.7,1.8,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18203956,0.076026912,0.275729781
63,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,1,no,no,peer-reviewed,0.6125,no,discrete,NA,surprise,yes,no,initiate,NA,exp.pose-control,yes,yes,between,mean,Surprise Face,28,2,1.5,0.283473355,Control,27,1.5,1.4,0.269430126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344399025,0.073829602,0.271716031
63,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,1,no,no,peer-reviewed,0.6125,no,discrete,NA,surprise,yes,no,modulate,pictures,exp.pose-control,yes,yes,between,mean,Surprise Face,28,4.8,2.6,0.491353815,Control,27,5,2.4,0.461880215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.079875912,0.072809324,0.26983203
63,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,1,no,no,peer-reviewed,0.6125,no,discrete,NA,surprise,yes,no,modulate,pictures,exp.pose-control,yes,yes,between,mean,Surprise Face,28,3.8,2.4,0.453557368,Control,27,3.1,2.3,0.442635206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297685514,0.073556929,0.271213806
63,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,1,no,no,peer-reviewed,0.6125,no,discrete,NA,surprise,yes,no,modulate,pictures,exp.pose-suppress,no,NA,between,mean,Surprise Face,28,4.8,2.6,0.491353815,Surprise-incompatible Face,25,5.1,2.2,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.123966195,0.075859263,0.275425604
63,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,1,no,no,peer-reviewed,0.6125,no,discrete,NA,surprise,yes,no,modulate,pictures,exp.pose-suppress,no,NA,between,mean,Surprise Face,28,3.8,2.4,0.453557368,Surprise-incompatible Face,25,3.3,2.1,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22086939,0.076174505,0.275997292
63,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,1,no,no,peer-reviewed,0.6125,no,discrete,NA,surprise,yes,no,modulate,pictures,suppress-control,yes,yes,between,mean,Control,27,5,2.4,0.461880215,Surprise-incompatible Face,25,5.1,2.2,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04336202,0.077055117,0.277588034
63,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,1,no,no,peer-reviewed,0.6125,no,discrete,NA,surprise,yes,no,modulate,pictures,suppress-control,yes,yes,between,mean,Control,27,3.1,2.3,0.442635206,Surprise-incompatible Face,25,3.3,2.1,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.090650991,0.077116052,0.277697772
64,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,3,no,no,peer-reviewed,0.5,no,discrete,NA,surprise,no,no,modulate,pictures,exp.pose-control,yes,yes,between,fval,Surprise Face (look-up condition),20,57,NA,NA,Control,20,72,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,-0.741619849,0.106875,0.326917421
65,"Peripheral feedback effects of facial expressions, bodily postures, and vocal expressions on emotional feelings.",2006,1,no,no,peer-reviewed,0.615384615,yes,discrete,NA,anger,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,anger facial pose,2.69,2.88,NA,posing of all non-target emotions,NA,NA,NA,5.14,NA,NA,NA,NA,0.719743963,0.024686582,0.157119643
65,"Peripheral feedback effects of facial expressions, bodily postures, and vocal expressions on emotional feelings.",2006,1,no,no,peer-reviewed,0.615384615,yes,discrete,NA,fear,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,fear facial pose,1.02,1.63,NA,posing of all non-target emotions,NA,NA,NA,2.5,NA,NA,NA,NA,0.350070021,0.020809304,0.144254304
65,"Peripheral feedback effects of facial expressions, bodily postures, and vocal expressions on emotional feelings.",2006,1,no,no,peer-reviewed,0.615384615,yes,discrete,NA,happiness,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,happy facial pose,2.31,2.5,NA,posing of all non-target emotions,NA,NA,NA,4.21,NA,NA,NA,NA,0.589517915,0.023015013,0.151706999
65,"Peripheral feedback effects of facial expressions, bodily postures, and vocal expressions on emotional feelings.",2006,1,no,no,peer-reviewed,0.615384615,yes,discrete,NA,sadness,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,sadness facial pose,2.41,2.8,NA,posing of all non-target emotions,NA,NA,NA,4.83,NA,NA,NA,NA,0.676335281,0.024092445,0.155217413
66,Personality and emotional memory: How regulating emotion impairs memory for emotional events,2006,2,no,no,peer-reviewed,0.65,no,dimensional,negative,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,Uninstructed Participants,91,4.37,2.15,NA,Suppression,40,3.59,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341336891,0.036433709,0.190876161
67,Positive and reverse placebo effects as a function of differences in cues used in self-perception.,1980,1,no,no,peer-reviewed,NA,no,dimensional,negative,NA,no,no,initiate,NA,exp.pose-control,yes,yes,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,Frown,NA,NA,NA,Neutral,NA,NA,NA,4.58,NA,NA,NA,NA,0.591275458,0.019580056,0.139928752
67,Positive and reverse placebo effects as a function of differences in cues used in self-perception.,1980,1,no,no,peer-reviewed,NA,no,dimensional,positive,NA,no,no,initiate,NA,exp.pose-control,yes,yes,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,Smile,NA,NA,NA,Neutral,NA,NA,NA,3.42,NA,NA,NA,NA,0.441520101,0.018291167,0.13524484
68,Reappraisal but not suppression downregulates the experience of positive and negative emotion,2015,1,no,no,peer-reviewed,0.5,no,discrete,NA,happiness,no,no,modulate,film,suppress-control,yes,yes,between,mean,Control (amusing),66.83333333,5.95,2.56,NA,Suppression (amusing),66.83333333,6.09,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.056093192,0.029936957,0.173022995
68,Reappraisal but not suppression downregulates the experience of positive and negative emotion,2015,1,no,no,peer-reviewed,0.5,no,discrete,NA,sadness,no,no,modulate,film,suppress-control,yes,yes,between,mean,Control (sad),66.83333333,6.4,2.26,NA,Suppression (sad),66.83333333,6.45,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.020752338,0.029926798,0.172993636
69,Reappraisal but not suppression downregulates the experience of positive and negative emotion,2015,2,no,no,peer-reviewed,0.43,no,discrete,NA,happiness,no,no,modulate,film,suppress-control,yes,yes,between,mean,Control (amusing),147.5,9.19,2.32,NA,Suppression (amusing),147.5,6.12,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.320427054,0.016514454,0.128508574
69,Reappraisal but not suppression downregulates the experience of positive and negative emotion,2015,2,no,no,peer-reviewed,0.43,no,discrete,NA,sadness,no,no,modulate,film,suppress-control,yes,yes,between,mean,Control (sad),147.5,6.16,2.44,NA,Suppression (sad),147.5,5.67,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19514325,0.013623866,0.116721317
70,Reduced facial reactivity as a contributor to preserved emotion regulation in older adults,2016,1,no,no,peer-reviewed,0.642857143,NA,dimensional,positive,NA,no,no,modulate,pictures,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,Control (positive),7.4,1.17,NA,Suppress (positive),6.41,1.58,NA,NA,NA,NA,NA,NA,0.697131241,0.018279353,0.135201156
70,Reduced facial reactivity as a contributor to preserved emotion regulation in older adults,2016,1,no,no,peer-reviewed,0.642857143,NA,dimensional,negative,NA,no,no,modulate,pictures,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,Suppress (negative),3,1.45,NA,Control (negative),2.69,1.36,NA,NA,NA,NA,NA,NA,0.220301844,0.015062742,0.122730363
71,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Albohn",2016,1,no,no,peer-reviewed,0.552147239,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,67,4.201,1.304,0.159308955,Lips,72,4.062,1.843,0.217199633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086546247,0.028841205,0.169826987
72,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Allard",2016,1,no,no,peer-reviewed,0.748502994,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,55,5.045,1.562,0.210620037,Lips,70,4.888,1.756,0.209882144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093809709,0.032502734,0.180285145
73,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Benning",2016,1,no,no,peer-reviewed,0.58041958,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,58,4.688,1.343,0.176344539,Lips,57,4.705,1.425,0.188745861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012281068,0.034785895,0.186509771
74,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Bulnes",2016,1,no,no,peer-reviewed,0.833333333,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,50,4.607,1.52,0.214960461,Lips,51,4.485,1.286,0.180076019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086728308,0.03964508,0.199110722
75,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Capaldi",2016,1,no,no,peer-reviewed,0.693333333,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,59,4.905,1.537,0.200100356,Lips,58,5.019,1.637,0.214948631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.071817682,0.034212574,0.184966412
76,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Chasten",2016,1,no,no,peer-reviewed,0.703703704,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,47,5.005,1.543,0.225069682,Lips,47,5.059,1.412,0.205961368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.036512362,0.042560283,0.206301437
77,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Holmes",2016,1,no,no,peer-reviewed,0.639784946,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,49,4.91,1.486,0.212285714,Lips,50,4.707,1.306,0.184696291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145210356,0.040514658,0.201282534
78,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Koch",2016,1,no,no,peer-reviewed,0.663793103,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,50,4.93,1.324,0.187241876,Lips,50,5.122,1.425,0.201525433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.139592974,0.040097431,0.200243429
79,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Korb",2016,1,no,no,peer-reviewed,0.379310345,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,51,4.137,1.716,0.240288062,Lips,50,4.118,1.713,0.242254783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011081846,0.039608451,0.19901872
80,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Lynott",2016,1,no,no,peer-reviewed,0.386075949,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,59,4.544,1.424,0.185389009,Lips,67,4.178,1.734,0.211841817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22924997,0.032083079,0.179117502
81,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Oosterwijk",2016,1,no,no,peer-reviewed,0.302013423,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,53,4.632,1.477,0.202881553,Lips,57,4.871,1.322,0.175103178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.170863755,0.036544486,0.191166122
82,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Ozdogru",2016,1,no,no,peer-reviewed,0.350318471,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,52,3.766,1.952,0.270693696,Lips,35,4.343,1.94,0.327919851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.296321575,0.048306833,0.219788154
83,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Pacheco-Unguetti",2016,1,no,no,peer-reviewed,0.243243243,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,61,3.78,1.649,0.211132815,Lips,59,3.912,1.843,0.239938163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.075555935,0.033366381,0.182664669
84,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Talarico",2016,1,no,no,peer-reviewed,0.232704403,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,57,4.364,1.301,0.17232166,Lips,55,4.339,1.595,0.215069756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017208374,0.035727,0.189015872
85,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Wagenmakers",2016,1,no,no,peer-reviewed,0.370165746,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,65,4.942,1.141,0.141523632,Lips,65,4.788,1.301,0.16136919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125856273,0.030830153,0.175585173
86,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Wayand",2016,1,no,no,peer-reviewed,0.18,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,53,4.753,1.392,0.191205905,Lips,57,4.955,1.488,0.197090415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.140027336,0.03650091,0.191052113
87,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Zeelenberg",2016,1,no,no,peer-reviewed,0.227586207,yes,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,mean,Teeth,50,4.93,1.397,0.197565635,Lips,58,4.578,1.41,0.18514207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250711264,0.03753238,0.193732754
88,"Respiratory sinus arrhythmia, emotion, and emotion regulation during social interaction",2006,1,no,no,peer-reviewed,1,no,dimensional,negative,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,Uninstructed Participants,36,0.17,0.18,0.03,Suppressors,33,0.18,0.402119385,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.032589507,0.058088504,0.241015569
89,Resting RSA is associated with natural and self-regulated responses to negative emotional stimuli,2004,1,no,no,peer-reviewed,0.495145631,yes,dimensional,positive,NA,no,no,modulate,film,exaggerate-control,yes,yes,between,mean,Exaggerate (positive),26,4.56,0.64,NA,Natural positive,27,4.19,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61610317,0.079079548,0.281210861
89,Resting RSA is associated with natural and self-regulated responses to negative emotional stimuli,2004,1,no,no,peer-reviewed,0.495145631,yes,dimensional,negative,NA,no,no,modulate,film,exaggerate-control,yes,yes,between,mean,Natural negative,26,1.96,1.11,NA,Exaggerate (negative),24,1.81,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162049355,0.080390805,0.283532723
90,Self-attribution of emotion: the effects of expressive behavior on the quality of emotional experience.,1974,1,no,no,peer-reviewed,NA,no,discrete,NA,anger,NA,no,modulate,pictures,exp.pose-exp.pose,no,NA,within,fval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,Frown (Aggression self-report),NA,NA,NA,Smile (Aggression self-report),NA,NA,NA,NA,NA,NA,8.18,positive,0.463964608,0.029148199,0.170728438
90,Self-attribution of emotion: the effects of expressive behavior on the quality of emotional experience.,1974,1,no,no,peer-reviewed,NA,no,discrete,NA,happiness,NA,no,modulate,pictures,exp.pose-exp.pose,no,NA,within,fval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,Smile (Elation self-report),NA,NA,NA,Frown (Aggression self-report),NA,NA,NA,NA,NA,NA,7.21,positive,0.435587927,0.028812327,0.169741942
90,Self-attribution of emotion: the effects of expressive behavior on the quality of emotional experience.,1974,1,no,no,peer-reviewed,NA,no,discrete,NA,happiness,NA,no,modulate,pictures,exp.pose-exp.pose,no,NA,within,fval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,Smile (Surgency self-report),NA,NA,NA,Frown (Aggression self-report),NA,NA,NA,NA,NA,NA,5.91,positive,0.394368249,0.028362188,0.168410773
91,Self-attribution of emotion: the effects of expressive behavior on the quality of emotional experience.,1974,2,yes,no,peer-reviewed,NA,no,discrete,NA,happiness,NA,no,NA,pictures,exp.pose-exp.pose,no,NA,within,pval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,Smile,4.42,NA,NA,Frown,4.11,NA,NA,NA,25,0.5,NA,positive,0.134227759,0.038808021,0.196997515
91,Self-attribution of emotion: the effects of expressive behavior on the quality of emotional experience.,1974,2,no,no,peer-reviewed,NA,no,NA,NA,NA,NA,yes,NA,pictures,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,Smile,NA,NA,NA,Frown,NA,NA,NA,2.8,NA,NA,NA,NA,0.549125178,0.044260355,0.210381451
92,Separate and combined effects of facial expressions and bodily postures on emotional feelings.,1999,1,no,no,peer-reviewed,0.333333333,yes,discrete,NA,anger,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Angry facial posing,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,10.36,NA,NA,NA,NA,1.40981743,0.036922085,0.192151204
92,Separate and combined effects of facial expressions and bodily postures on emotional feelings.,1999,1,no,no,peer-reviewed,0.333333333,yes,discrete,NA,fear,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Fear facial posing,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,2.13,NA,NA,NA,NA,0.289856286,0.019296451,0.138911665
92,Separate and combined effects of facial expressions and bodily postures on emotional feelings.,1999,1,no,no,peer-reviewed,0.333333333,yes,discrete,NA,happiness,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Happy facial posing,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,8.65,NA,NA,NA,NA,1.177115904,0.031348165,0.177054131
92,Separate and combined effects of facial expressions and bodily postures on emotional feelings.,1999,1,no,no,peer-reviewed,0.333333333,yes,discrete,NA,sadness,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Sadness facial posing,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,8.91,NA,NA,NA,NA,1.212497423,0.032131019,0.179251272
141,Smiling After Thinking Increases Reliance on Thoughts,2013,1,no,no,peer-reviewed,NA,no,NA,NA,NA,NA,yes,NA,stories,incidental-suppress,no,NA,between,mean,Teeth,15.5,7.43,1.22,NA,Lips,15.5,6.38,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850139725,0.140689315,0.375085744
93,Smiling into happiness: Conditioning positive affect,2014,1,no,yes,dissertation,0.818181818,yes,dimensional,positive,NA,no,no,modulate,film,incidental-control,yes,no,between,mean,Smiling reinforced,23,28.35,7.54,NA,Control group,21,24.19,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.579817898,0.094917636,0.308087059
93,Smiling into happiness: Conditioning positive affect,2014,1,no,yes,dissertation,0.818181818,yes,dimensional,positive,NA,no,no,modulate,film,incidental-control,yes,no,between,mean,Smiling reinforced,23,40.48,9.84,NA,Control group,21,38.05,6.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287708971,0.09203795,0.30337757
94,Stop laughing! Humor perception with and without expressive suppression,2012,1,no,no,peer-reviewed,1,no,discrete,NA,happiness,NA,no,modulate,pictures,suppress-control,yes,yes,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Spontaneous reaction,3.37,0.87,NA,Expressive Suppression,3.44,0.38,NA,0.98,NA,NA,NA,NA,0.208936702,0.046446694,0.215514951
95,"Up- and down-regulating facial disgust: Affective, vagal, sympathetic, and respiratory consequences",2006,1,no,no,peer-reviewed,0.52173913,yes,dimensional,negative,NA,no,no,modulate,film,exaggerate-control,yes,yes,between,mean,Disgust-exaggerate,17,1.59,0.71,NA,Disgust-natural,15,2,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.644305877,0.131976603,0.363285842
95,"Up- and down-regulating facial disgust: Affective, vagal, sympathetic, and respiratory consequences",2006,1,no,no,peer-reviewed,0.52173913,yes,dimensional,negative,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,Disgust-natural,15,2,0.54,NA,Disgust-suppress,20,1.95,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055203116,0.116710201,0.341628747
