,study,Citation,n_1,n_2,mean_age_1,mean_age_2,domain,Miyake,stask,Task Description,DV,Log transformed?,g,var.g,se.g
518,"Kennedy, 2015","Kennedy, K. M., Rodrigue, K. M., Bischof, G. N., Hebrank, A. C., Reuter-Lorenz, P. A., & Park, D. C. (2015). Age trajectories of functional activation under conditions of low and high processing demands: an adult lifespan fMRI study of the aging brain. Neuroimage, 104, 21-34.",82,115,27.75,76.38,processing speed,no,Semantic Judgement Task,Participants were asked to indicate whether stimuli were words or non words,number of correct responses,no,0.310584229,214.4274656,14.64334202
519,"Gollan, 2011","Gollan, T. H., Sandoval, T., & Salmon, D. P. (2011). Cross-language intrusion errors in aging bilinguals reveal the link between executive control and language selection. Psychological Science, 22(9), 1155-1164.",18,18,19.7,77,inhibition,no,Flanker Task,Participants responded to direction of central arrow by pressing the key that corresponded to the direction.,RT on incongruent trials in milliseconds,no,2.786270515,334.1923731,18.28092922
520,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter or given a category.,Percent correct,no,1.64404474,0.391980247,0.626083259
521,"Gonneaud, 2011","Gonneaud, J., Kalpouzos, G., Bon, L., Viader, F., Eustache, F., & Desgranges, B. (2011). Distinct and shared cognitive functions mediate event-and time-based prospective memory impairment in normal ageing. Memory, 19(4), 360-377.",29,23,24.3,68.2,inhibition,yes,Verbal Fluency,Participants were asked to generate a random sequence of consonants out loud (Random Letter Generation).,Number of letters produced minus errors,no,1.183810163,0.345913857,0.588144418
522,,,,,,,updating,no,Running Memory Span Task,Participants were read sets of letters and were instructed to remember the four most recent letters in order.,Number of correctly produced strings,no,0.958631536,0.178354126,0.422319934
523,,,,,,,updating,no,Working Memory Task,"Participants completed a binding task, in which participants were presented with grids with a letter in different locations, and participants were instructed to remember the location of each letter.",Percent correct,no,1.853406359,0.075792787,0.275304898
524,,,,,,,processing speed,no,Cross Out Task,Participants were instructed to cross out target stimuli among distractors,Number of correct responses,no,0,3.247345549,1.802039275
525,,,,,,,shifting,no,Alternating Runs Task,"Word stimuli were presented one at a time, and based on a cue participants had to decide either whether the word was living/non-living or if the word was smaller or larger than a specified object.",RT for switch trials minus RT for nonswitch condition,no,0.517746068,800.621943,28.29526361
526,"Grandjean, 2011","Grandjean, J., & Collette, F. (2011). Influence of response prepotency strength, general working memory resources, and specific working memory load on the ability to inhibit predominant responses: A comparison of young and elderly participants. Brain and cognition, 77(2), 237-247.",60,60,23.17,71.22,inhibition,no,Go/No-Go Task,Participants were instructed to press a button when target stimuli appeared and not to respond to non-targets.,Number of errors in low condition,no,-0.462601686,0.050401136,0.224501972
527,,,,,,,inhibition,no,Conflict Resoultion Task,"In the one condition, participants responded to rectangle location by pressing a key on the keyboard located on the same side as the rectangle. In a second condition, participants were instructed to press a key on the opposite side as the rectangle.",Number of errors in full attention condition,no,0.570581219,0.168766887,0.410812472
528,,,,,,,processing speed,no,Choice RT,Participants were instructed to indicate the location of a stimulus as quickly as possible.,RT in milliseconds,no,2.177450822,48.33169211,6.952099835
529,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Longest sequence correctly recalled,no,0.659203499,0.03695676,0.192241411
530,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Longest sequence correctly recalled,no,1.007926522,0.038289617,0.19567733
531,"Guerreiro, 2011","Guerreiro, M. J., & Van Gerven, P. W. (2011). Now you see it, now you don't: evidence for age-dependent and age-independent cross-modal distraction. Psychology and aging, 26(2), 415.",30,30,22.3,67.7,updating,no,n-back,Participants were presented with a sequence of numbers and were asked whether each number matched the number that occurred two numbers before.,RT on correct no distraction trials in milliseconds,no,1.972853401,138.4858267,11.76800012
532,"Hale, 2011","Hale, S., Rose, N. S., Myerson, J., Strube, M. J., Sommers, M., Tye-Murray, N., & Spehar, B. (2011). The structure of working memory abilities across the adult life span. Psychology and aging, 26(1), 92.",103,144,27.23,75.94,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,0.446708717,0.016564994,0.128705068
533,,,,,,,updating,no,Letter Span Task,Participants were given a series of letters and numbers then were asked to repeat the sequence back in the order presented to them.,Proporition correct,no,0.65655827,0.016565308,0.128706287
534,,,,,,,updating,no,Word Span Task,Participants were given a series of words then were asked to repeat the sequence back in the order presented to them.,Proporition correct,no,0.722690572,0.016570036,0.128724653
535,,,,,,,updating,no,Reading Span Task,Participants read a series of sentences and were asked whether each sentence made sense or not and were told to recall item presented at the end of each sentence of a series in the order presented to them.,Proporition correct,no,0.724176989,0.016592516,0.128811942
536,,,,,,,updating,no,Counting Span Task,Participants counted the number of colored shapes and and were told to recall item presented after each counting trial in the order presented to them.,Proporition correct,no,0.589682128,0.016594802,0.128820813
537,,,,,,,updating,yes,Operation Span Task,Participants read simple arithmetic problem and were asked whether the solution was correct or incorrect and were told to recall an item presented at the end of each trial in the order presented to them.,Proporition correct,no,0.695253635,0.016590199,0.128802945
538,,,,,,,updating,no,Line Span Task,Participants were instructed to remember which lines turned red.,Proporition correct,no,1.517986575,0.016571062,0.128728638
539,,,,,,,updating,no,Grid Span Task,Participants were instructed to remember the location of stimuli presented in a grid.,Proporition correct,no,1.370712153,0.01656982,0.128723813
540,,,,,,,updating,no,Dot Span Task,Participants were instructed to remember the location of circles that turned red.,Proporition correct,no,1.334538149,0.016567987,0.128716693
541,,,,,,,updating,no,Parallel Span Task,Participants indicated whether or not two lines were parallel or not.,Proporition correct,no,1.123766049,0.016591306,0.128807244
542,,,,,,,updating,no,Alignment span,Participants indicated whether or not the stimuli formed a line or not.,Proporition correct,no,1.325771293,0.016572629,0.128734722
543,,,,,,,updating,no,Position Span Task,Participants indicated whether or not the target stimulus appeared to the right of the other stimulus or not.,Proporition correct,no,1.131810327,0.01658231,0.128772318
544,"Korotkevich, 2015","Korotkevich, Y., Trewartha, K. M., Penhune, V. B., & Li, K. Z. (2015). Effects of age and cognitive load on response reprogramming. Experimental brain research, 233(3), 937-946.",19,14,21.58,68.14,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.557845351,3.411346348,1.846983039
545,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT on congruent trials minus RT on incongruent trials in seconds,no,1.067844789,0.118664863,0.344477667
546,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B minus RT for Trail A,no,-0.231799706,0.461838659,0.679587124
547,,,,,,,processing speed,no,Serial Sevens Test,Participants were instructed to count forward or backwards by seven,Number of correct responses,no,1.254347704,0.188448001,0.434105979
548,"Kemper, 2014","Kemper, S., Bontempo, D., Schmalzried, R., McKedy, W., Tagliaferri, B., & Kieweg, D. (2014). Tracking reading: Dual task costs of oral reading for young versus older adults. Journal of psycholinguistic research, 43(1), 59-80.",40,40,21,75,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.50062302,0.232970756,0.482670443
549,,,,,,,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,1.390840467,3.192015054,1.786621128
550,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,0.288853162,0.084348838,0.290428715
551,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.300278863,0.081712937,0.285854748
552,,,,,,,updating,no,Reading Span Task,Participants read aloud a series of sentences and were asked whether each sentence was true or false and were told to recall the last word of each sentence of a series.,Number of correctly recalled letters,no,1.00216748,0.052871274,0.229937544
553,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus (color names) aloud as quickly as possible.,Interference score = score baseline minus score color naming divided by score baseline,no,2.036398581,0.676292558,0.822370086
554,,,,,,,shifting,no,Trail Making Test,"Participants completed Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B in seconds,no,1.508752342,7.552469939,2.748175748
555,"Kray, 2015A","Kray, J., Schmitt, H., Heintz, S., & Blaye, A. (2015). Does verbal labeling influence age differences in proactive and reactive cognitive control?. Developmental psychology, 51(3), 378.",18,16,22.5,74.4,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.078749812,1.515737957,1.231153101
556,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,1.36522367,0.168761485,0.410805897
557,,,,,,,inhibition,no,AX-CPT,"A task in which participants are told to make a response to a probe when preceded by a specific stimuli, and then a different response to all other stimuli preceding that probe.",RT on interference (BX) trials in milliseconds,no,8.288171305,4.697267955,2.167318148
558,"Kray, 2015B","Kray, J., Schmitt, H., Heintz, S., & Blaye, A. (2015). Does verbal labeling influence age differences in proactive and reactive cognitive control?. Developmental psychology, 51(3), 378.",24,24,23.9,71.8,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.558126436,0.861965869,0.92842117
559,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.959618512,0.131869793,0.363138807
560,,,,,,,inhibition,no,AX-CPT,"A task in which participants are told to make a response to a probe when preceded by a specific stimuli, and then a different response to all other stimuli preceding that probe.",RT on interference (BX) trials in milliseconds,no,1.227509362,152.4304564,12.34627298
561,"Kopp, 2014","Kopp, B., Lange, F., Howe, J., & Wessel, K. (2014). Age-related changes in neural recruitment for cognitive control. Brain and cognition, 85, 209-219.",24,16,22,70,shifting,no,Attention Task,Participants sorted cards based on either color or shape to match one of two stimulus cards.,RT on switch trials with 500 millisecond response-cue interval,no,1.00044263,242.4264579,15.57005003
562,"Maxfield, 2012","Maxfield, M., Pyszczynski, T., Greenberg, J., Pepin, R., & Davis, H. P. (2012). The moderating role of executive functioning in older adults' responses to a reminder of mortality. Psychology and aging, 27(1), 256.",70,79,21.21,70.94,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter or in a given category.,Number of words produced,no,0.246072943,0.407951625,0.638710908
563,,,,,,,inhibition,no,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Interference score = RT color naming minus RT incongruent trials divided by RT color naming,no,0.758317808,0.03708876,0.192584423
564,,,,,,,updating,no,Self Ordered Pointing Task,Participants were required to individually point at sixteen random patterns without repeating.,Total percent correct,no,0.742212605,0.582420804,0.763164991
565,"Lemaire, 2014","Lemaire, P., & Hinault, T. (2014). Age-related differences in sequential modulations of poorer-strategy effects: A study in arithmetic problem solving. Experimental Psychology, 61(4), 253.",67,67,21.5,75.5,processing speed,no,Arithmatic Task,Participants completed addition and subtraction problems,Number of correct responses,no,-1.416739693,3.234794636,1.798553484
566,,,,,,,inhibition,no,Simon Task,Participants responded to the shape of the stimulus which either corresponded (congruent) or did not correspond (incongruent) with the task-relevant aspect of the stimulus.,RT on incongruent trials (previous trial congruent) in milliseconds,no,2.214713512,17.89340774,4.230060016
567,"Gutchess, 2007","Gutchess, A. H., Hebrank, A., Sutton, B. P., Leshikar, E., Chee, M. W., Tan, J. C., ... & Park, D. C. (2007). Contextual interference in recognition memory with age. Neuroimage, 35(3), 1338-1347.",21,20,21.05,68.1,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.736394741,1.756056599,1.325162857
568,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,1.142062839,0.130214849,0.360852946
569,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,1.875561723,0.119917998,0.346291781
570,"Loosli, 2014","Loosli, S. V., Rahm, B., Unterrainer, J. M., Weiller, C., & Kaller, C. P. (2014). Developmental change in proactive interference across the life span: Evidence from two working memory tasks. Developmental psychology, 50(4), 1060.",33,17,23.7,69.9,updating,no,n-back,Participants were presented with a sequence of stimuli (pictures of animals) and were asked whether each stimulus matched the stimulus that occurred two before.,Percent correct on target trials,no,0.744195553,1.954888702,1.398173345
571,"Lyons, 2014","Lyons, A. D., Henry, J. D., Rendell, P. G., Corballis, M. C., & Suddendorf, T. (2014). Episodic foresight and aging. Psychology and aging, 29(4), 873.",40,40,20.7,69.5,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",Ratio of completion time on Trail B to completion on Trail A,no,0.621681906,0.053576224,0.231465385
572,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter or in a given category in one minute.,Number of words produced,no,0.456645589,0.494355608,0.703104265
573,"Lucenet, 2014","Lucenet, J., Blaye, A., Chevalier, N., & Kray, J. (2014). Cognitive control and language across the life span: Does labeling improve reactive control?. Developmental psychology, 50(5), 1620.",48,45,22.3,70.7,shifting,no,Shifting Task,"Based on the stimuli location, participants either categorized the stimuli by color (shades of orange and blue) or type of stimuli (dog or car).",RT on correct responses in milliseconds,no,0.472661641,75.50172756,8.689173008
574,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.480887814,0.060563464,0.246096453
575,"Manard, 2014","Manard, M., Carabin, D., Jaspar, M., & Collette, F. (2014). Age-related decline in cognitive control: the role of fluid intelligence and processing speed. BMC neuroscience, 15(1), 7.",80,80,22.1,74.1,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.139215053,0.534757554,0.731271191
576,,,,,,,updating,no,Dual Task,"Participants completed an adpated Sternberg task, letters presented on the screen and particpants indicated whether or not a single letter was presented at the beginning of a trial.",RT non-recent negative trials low-interference condition in milliseconds,no,1.547485951,155.1324949,12.45521959
577,"Marshall, 2016","Marshall, A. C., Cooper, N. R., & Geeraert, N. (2016). Experienced stress produces inhibitory deficits in old adultsÃ¢â‚¬Å¡Ãƒâ€_ÃƒÂ´ Flanker task performance: first evidence for lifetime stress effects beyond memory. Biological psychology, 113, 1-11.",30,30,21.3,68.73,inhibition,no,Flanker Task,Participants responded to direction of central arrow by pressing the key that corresponded to the direction.,RT in milliseconds,no,0.887142031,49.86952028,7.061835476
578,"Hester, 2004","Hester, R. L., Kinsella, G. J., & Ong, B. E. N. (2004). Effect of age on forward and backward span tasks. Journal of the International Neuropsychological Society, 10(4), 475-481.",354,386,25.29,76.08,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,2.312103691,0.008402284,0.091663972
579,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.589791864,0.008775239,0.093676247
580,,,,,,,updating,no,Updating Task,Participants viewed a demonstration of a tapping sequence and were instructed to repeat the sequence in the same order.,Total number of correct trials,no,0.474212731,0.017017874,0.130452573
581,,,,,,,updating,no,Updating Task,Participants viewed a demonstration of a tapping sequence and were instructed to repeat the sequence in the reverse order.,Total number of correct trials,no,0.952070567,0.008524428,0.092327829
582,"Martinelli, 2013","Martinelli, P., Sperduti, M., Devauchelle, A. D., Kalenzaga, S., Gallarda, T., Lion, S., ... & Krebs, M. O. (2013). Age-related changes in the functional network underlying specific and general autobiographical memory retrieval: a pivotal role for the anterior cingulate cortex. PloS one, 8(12), e82385.",20,17,29.2,68.2,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B minus RT for Trail A in seconds,no,1.350109115,6.337584324,2.517455923
583,,,,,,,updating,no,Running Memory Span Task,Participants were read sets of words and were instructed to remember the n most recent words in order.,Total score,no,0.925085032,0.251436116,0.501434059
584,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Interference score,no,15.63484231,0.110554493,0.332497357
585,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,4.745959077,0.226897532,0.476337624
586,"Mattli, 2014","Mattli, F., Schnitzspahn, K. M., Studerus-Germann, A., Brehmer, Y., & Zöllig, J. (2014). Prospective memory across the lifespan: Investigating the contribution of retrospective and prospective processes. Aging, Neuropsychology, and Cognition, 21(5), 515-543.",19,16,24.8,75.7,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,0.656339335,0.149202195,0.386267
587,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,1.204269258,0.171551577,0.414187852
588,,,,,,,updating,no,Zoo Map Task,Participants were given a map with locations to visit and a set of rules to follow. Participants were required to follow instructions for each trial.,Standardized mean score of correct responses,no,-1.046224229,0.119987674,0.34639237
589,"Mewborn, 2015","Mewborn, C., Renzi, L. M., Hammond, B. R., & Miller, L. S. (2015). Critical flicker fusion predicts executive function in younger and older adults. Archives of Clinical Neuropsychology, 30(7), 605-610.",72,57,21.7,72.4,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.839829225,0.368159527,0.606761508
590,,,,,,,shifting,no,Shifting Attention Task,Participants were instructed to match stimuli following rule sets.,Number of correct responses,no,1.331436291,1.160559935,1.077292874
591,"Holtzer, 2004","Holtzer, R., Stern, Y., & Rakitin, B. C. (2004). Age-related differences in executive control of working memory. Memory & cognition, 32(8), 1333-1345.",16,16,21.2,74.3,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Percent error,no,-1.25254637,0.168437554,0.410411445
592,,,,,,,shifting,yes,Dual Task,Participants had to recall a string of 5 digits while also responding to a probe.,Number of correct responses for true negative trials,no,0,0.119964692,0.346359195
593,"Mazaheri, 2014","Mazaheri, M., Roerdink, M., Bood, R. J., Duysens, J., Beek, P. J., & Peper, C. L. E. (2014). Attentional costs of visually guided walking: effects of age, executive function and stepping-task demands. Gait & posture, 40(1), 182-186.",15,15,22.7,76,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,2.46962615,1.311541271,1.145225424
594,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B in seconds,no,1.52180045,7.758486486,2.785405982
595,,,,,,,inhibition,yes,Stroop,"Participants completed three tasks, in which participants either read printed words or named the color of stimuli.",RT on interference trials in seconds,no,1.60822903,3.181227173,1.783599499
596,,,,,,,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,2.348377809,1.732993922,1.31643227
597,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B in seconds,no,2.262825977,12.78285244,3.575311517
598,,,,,,,inhibition,yes,Stroop,"Participants completed three tasks, in which participants either read printed words or named the color of stimuli.",RT on interference trials in seconds,no,1.602949759,14.55945565,3.815685476
599,"Hutter, 2012","Hutter, R. R., Wood, C., & Dodd, G. F. (2012). Resolving conflicting social categories: The role of age_related executive ability. British Journal of Psychology, 103(1), 28-43.",17,17,20.53,68.82,processing speed,no,Block Design Task,Participants replicated patterns using blocks,number of correct patterns,no,0.729750705,0.136257297,0.36913046
600,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Number of correct responses on interference trials,no,1.17459439,1.346893058,1.160557219
601,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.343640883,2.700842741,1.643424091
602,"Mioni, 2014","Mioni, G., & Stablum, F. (2014). Monitoring behaviour in a time-based prospective memory task: The involvement of executive functions and time perception. Memory, 22(5), 536-552.",76,76,23.11,70.05,inhibition,yes,Stroop,Three color names were presented on the screen. Participants were instructed to press an arrow key to select which color name matched the central colored word.,RT on incongruent trials minus RT on congruent trials in milliseconds in free monitoring condition,no,0.474849805,22.90371382,4.785782466
603,,,,,,,updating,no,n-back,Participants were presented with words and were asked whether each word matched the number that occurred three words before.,Number or errors in free monitoring condition,no,1.080987739,0.125379352,0.354089469
604,"Müller, 2014","Müller, L. D., Guhn, A., Zeller, J. B., Biehl, S. C., Dresler, T., Hahn, T., ... & Herrmann, M. J. (2014). Neural correlates of a standardized version of the trail making test in young and elderly adults: a functional near-infrared spectroscopy study. Neuropsychologia, 56, 271-279.",20,20,25.7,70.95,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,1.155076708,0.36721214,0.605980313
605,,,,,,,shifting,no,Trail Making Test,"Participants completed a modified Trail Making Task. Participants completed Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants completed Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",Number of correctly connected circles on Trail B,no,2.349663603,0.236562431,0.486376841
606,"Newson, 2008A","Newson, R. S., & Kemps, E. B. (2008). Relationship between fitness and cognitive performance in younger and older adults. Psychology & health, 23(3), 369-386.",24,24,23,69.46,processing speed,no,Simple Reaction Time Task,Participants were instructed to responsed to a stimuli as quickly as possible,RT in milliseconds,no,0.98436387,54.14498119,7.358327336
607,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus as quickly as possible.,Ratio of the number of items correctly named in incongruent trials to number of items correctly named in congruent trials,no,0.98070933,0.080794813,0.284244284
608,,,,,,,processing speed,no,Map Search Test,Participants were instructed to circle all restaurants on a map,Number of correct responses,no,2.75700031,0.920627519,0.959493366
609,,,,,,,updating,no,Letter Number Sequencing Task,Participants viewed a series of letters and numbers then are asked to repeat numbers back in ascending order and letters in alphabetical order.,Total number of correct trials,no,1.449003082,0.124676666,0.353095831
610,,,,,,,updating,no,Corsi Blocks Task,Participants viewed a demonstration of a tapping sequence and were instructed to repeat the sequence in the reverse order.,Total number of correct trials,no,0.847632923,0.114931302,0.339015194
611,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.637915381,0.805819672,0.897674591
612,"Newson, 2008B","Newson, R. S., & Kemps, E. B. (2008). Relationship between fitness and cognitive performance in younger and older adults. Psychology & health, 23(3), 369-386.",24,24,22.38,72.13,processing speed,no,Boxes Test,Participants had to complete as many boxes as possible by filling in the missing side,Number of completed boxes,no,1.136049897,1.552903621,1.246155537
613,,,,,,,updating,no,Zoo Map Task,Participants were given a map with locations to visit and a set of rules to follow. Participants were required to follow instructions for each trial.,Number of places visited in the correct order,no,0.29447292,0.256312147,0.506272799
614,"Nugent, 2014","Nugent, S., Castellano, C. A., Goffaux, P., Whittingstall, K., Lepage, M., Paquet, N., ... & Cunnane, S. C. (2014). Glucose hypometabolism is highly localized, but lower cortical thickness and brain atrophy are widespread in cognitively normal older adults. American Journal of Physiology-Endocrinology and Metabolism, 306(11), E1315-E1321.",25,31,25,71,processing speed,no,Symbol Search Task,Participants are to determine whether a set of five symbols includes one of two target exemplars,number of correct responses,no,2.171785534,0.467548019,0.68377483
615,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.256400538,1.397992645,1.18236739
616,,,,,,,shifting,no,Trail Making Test,"Participants completed three trails of a Trail Making Task. Participants were instructed to connect circles with numbers in ascending order and circles with letters in alphabetical order. Then participants completed Trail 3, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for letter-number sequence in seconds,no,1.754732345,12.08365175,3.476154736
617,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT for inhibition trials in seconds,no,1.843084178,1.895074744,1.376617138
618,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter.,Number of words produced,no,0.325429738,0.991585058,0.99578364
619,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible given a category.,Number of words produced,no,1.296351628,0.552623195,0.743386302
620,,,,,,,updating,no,Updating Task,Participants were given a sequence of dots presented in a matrix and asked to recall the position of the last 4 dots in the sequence.,Number of correct responses,no,0.879062006,0.219788272,0.468815819
621,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,1.317094346,0.288673121,0.537283092
622,"Quigley, 2012","Quigley, C., Andersen, S. K., & Müller, M. M. (2012). Keeping focused: sustained spatial selective visual attention is maintained in healthy old age. Brain research, 1469, 24-34.",14,14,25.9,67.6,inhibition,no,Inhibition Task,Participants were instructed to respond to a target letter in the attended stream.,RT in milliseconds,no,0.71747384,10.55137573,3.248288123
623,"Kemps, 2006","Kemps, E., & Newson, R. (2006). Comparison of adult age differences in verbal and visuo-spatial memory: the importance of ‘pure’, parallel and validated measures. Journal of Clinical and Experimental Neuropsychology, 28(3), 341-356.",24,24,19.67,68.96,processing speed,no,Boxes Test,Participants had to complete as many boxes as possible by filling in the missing side,Number of completed boxes,no,1.063676953,1.365396063,1.168501632
624,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.984155684,0.842565843,0.917913854
625,,,,,,,updating,no,Number Letter Sequencing Task,"Based on location of the stimuli, participants responded to either the letter (consonant or vowel) or the number (even or odd)",Number of items correctly reordered,no,0.704339994,0.135436375,0.368016813
626,,,,,,,updating,no,Corsi Blocks Task,Participants viewed a demonstration of a tapping sequence and were instructed to repeat the sequence in the reverse order.,Number of correct trials,no,0.845648633,0.144235924,0.37978405
627,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B minus RT for Trail A,no,0.750902612,2.692489922,1.640880837
628,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Ratio of the number of items correctly named in incongruent trials to number of items correctly named in congruent trials,no,1.420862214,0.080797837,0.284249603
